order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
263,C263,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
264,C3+C8+C11,8,8,8,9,pinned,0,0.00,"(1,1,1) (2,2,2) (1,4,4) (2,0,8) (1,0,5) (2,0,10) (1,0,9) (2,0,7)"
264,C2+C3+C4+C11,8,8,8,9,pinned,0,0.00,"(0,1,1,1) (0,2,2,2) (0,1,0,4) (0,2,0,8) (0,1,0,5) (0,2,0,10) (0,1,0,9) (1,0,0,0)"
264,C2+C2+C2+C3+C11,8,8,8,9,pinned,0,0.01,"(1,0,0,1,1) (0,0,0,2,2) (0,0,0,1,4) (0,0,0,2,8) (0,0,0,1,5) (0,0,0,2,10) (0,1,0,0,0) (0,0,1,0,0)"
265,C5+C53,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (3,8) (1,16) (2,32) (4,11) (3,22)"
266,C2+C7+C19,8,8,8,9,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,1,8) (0,2,16) (0,4,13) (0,1,7) (0,2,14)"
267,C3+C89,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,64) (2,39)"
268,C4+C67,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,61)"
268,C2+C2+C67,8,8,8,9,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,0,64) (0,1,0)"
269,C269,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
270,C2+C5+C27,8,8,8,9,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,3,8) (0,1,16) (0,2,5) (0,4,10) (0,3,20)"
270,C2+C3+C5+C9,7,8,8,9,search,730197075,340.51,"(0,0,1,1) (0,0,2,2) (0,1,1,2) (0,1,3,5) (1,0,2,4) (1,1,0,7) (1,1,1,3) (1,1,2,8)"
270,C2+C3+C3+C3+C5,6,8,TIMEOUT,,search,,>600,
271,C271,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
272,C16+C17,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (0,16) (0,15) (0,13) (0,9)"
272,C2+C8+C17,8,8,8,9,pinned,0,0.00,"(0,1,1) (0,2,2) (0,4,4) (0,0,8) (0,0,16) (0,0,15) (0,0,13) (1,0,0)"
