order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
156,C2+C2+C3+C13,7,7,7,8,pinned,0,0.00,"(1,0,1,1) (0,0,2,2) (0,0,1,4) (0,0,2,8) (0,0,1,3) (0,0,2,6) (0,1,0,0)"
157,C157,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
158,C2+C79,7,7,7,8,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64)"
159,C3+C53,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,11)"
160,C5+C32,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (3,8) (1,16) (2,0) (4,0)"
160,C2+C5+C16,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,4,4) (0,3,8) (0,1,0) (0,2,0) (1,0,0)"
160,C4+C5+C8,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,4,4) (0,3,0) (0,1,0) (1,0,0) (2,0,0)"
160,C2+C2+C5+C8,7,7,7,8,pinned,0,0.00,"(0,0,1,1) (0,0,2,2) (0,0,4,4) (0,0,3,0) (0,0,1,0) (1,0,0,0) (0,1,0,0)"
160,C2+C4+C4+C5,7,7,7,8,pinned,0,0.00,"(0,1,0,1) (0,2,0,2) (0,0,0,4) (0,0,0,3) (0,0,1,0) (0,0,2,0) (1,0,0,0)"
160,C2+C2+C2+C4+C5,7,7,7,8,pinned,0,0.00,"(0,0,0,1,1) (0,0,0,2,2) (0,0,0,0,4) (0,0,0,0,3) (1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0)"
160,C2+C2+C2+C2+C2+C5,7,7,7,8,pinned,0,0.00,"(1,0,0,0,0,1) (0,0,0,0,0,2) (0,0,0,0,0,4) (0,1,0,0,0,0) (0,0,1,0,0,0) (0,0,0,1,0,0) (0,0,0,0,1,0)"
161,C7+C23,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (1,8) (2,16) (4,9) (1,18)"
162,C2+C81,7,7,7,8,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64)"
162,C2+C3+C27,6,7,7,8,search,10849,0.01,"(0,0,1) (0,0,2) (0,0,4) (0,1,2) (0,1,12) (0,1,21) (1,0,0)"
162,C2+C9+C9,7,7,7,8,pinned,0,0.00,"(1,1,0) (0,2,0) (0,4,0) (0,8,0) (0,0,1) (0,0,2) (0,0,4)"
162,C2+C3+C3+C9,6,7,7,8,search,38154,0.01,"(0,0,0,1) (0,0,0,2) (0,0,0,4) (1,0,1,0) (1,1,0,0) (1,1,1,0) (1,1,2,0)"
162,C2+C3+C3+C3+C3,5,7,6,7,search,20756974,5.16,"(0,0,0,0,1) (0,0,0,1,0) (1,0,1,0,0) (1,1,0,0,0) (1,1,1,0,0) (1,1,2,0,0)"
163,C163,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
164,C4+C41,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,8) (0,16) (0,32) (0,23)"
164,C2+C2+C41,7,7,7,8,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,1,0)"
165,C3+C5+C11,7,7,7,8,pinned,0,0.00,"(1,1,1) (2,2,2) (1,4,4) (2,3,8) (1,1,5) (2,2,10) (1,4,9)"
166,C2+C83,7,7,7,8,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64)"
167,C167,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
168,C3+C7+C8,7,7,7,8,pinned,0,0.00,"(1,1,1) (2,2,2) (1,4,4) (2,1,0) (1,2,0) (2,4,0) (1,1,0)"
168,C2+C3+C4+C7,7,7,7,8,pinned,0,0.00,"(0,1,1,1) (0,2,2,2) (0,1,0,4) (0,2,0,1) (0,1,0,2) (0,2,0,4) (1,0,0,0)"
168,C2+C2+C2+C3+C7,7,7,7,8,pinned,0,0.00,"(1,0,0,1,1) (0,0,0,2,2) (0,0,0,1,4) (0,0,0,2,1) (0,0,0,1,2) (0,1,0,0,0) (0,0,1,0,0)"
169,C169,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
169,C13+C13,6,7,7,8,search,86941,0.02,"(0,1) (0,2) (1,0) (1,4) (1,8) (3,3) (6,6)"
170,C2+C5+C17,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,3,8) (0,1,16) (0,2,15) (0,4,13)"
171,C9+C19,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (7,16) (5,13) (1,7)"
171,C3+C3+C19,6,7,7,8,search,6034,0.01,"(0,0,1) (0,0,2) (0,0,4) (0,1,2) (1,0,3) (1,1,15) (1,2,9)"
172,C4+C43,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,8) (0,16) (0,32) (0,21)"
172,C2+C2+C43,7,7,7,8,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,1,0)"
173,C173,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
174,C2+C3+C29,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,1,4) (0,2,8) (0,1,16) (0,2,3) (0,1,6)"
175,C7+C25,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (1,8) (2,16) (4,7) (1,14)"
175,C5+C5+C7,7,7,7,8,pinned,0,0.00,"(1,0,1) (2,0,2) (4,0,4) (3,0,1) (1,0,2) (0,1,0) (0,2,0)"
176,C11+C16,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (5,0) (10,0) (9,0)"
176,C2+C8+C11,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,4,4) (0,0,8) (0,0,5) (0,0,10) (1,0,0)"
176,C4+C4+C11,7,7,7,8,pinned,0,0.00,"(1,0,1) (2,0,2) (0,0,4) (0,0,8) (0,0,5) (0,1,0) (0,2,0)"
176,C2+C2+C4+C11,7,7,7,8,pinned,0,0.00,"(0,0,1,1) (0,0,2,2) (0,0,0,4) (0,0,0,8) (0,0,0,5) (1,0,0,0) (0,1,0,0)"
176,C2+C2+C2+C2+C11,7,7,7,8,pinned,0,0.00,"(1,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4) (0,0,0,0,8) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0)"
177,C3+C59,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,5)"
178,C2+C89,7,7,7,8,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64)"
179,C179,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
180,C4+C5+C9,7,7,7,8,pinned,0,0.00,"(1,1,1) (2,2,2) (0,4,4) (0,3,8) (0,1,7) (0,2,5) (0,4,1)"
180,C3+C3+C4+C5,6,7,7,8,search,15770,0.01,"(0,0,0,1) (0,0,0,2) (0,0,1,0) (0,1,2,0) (1,0,2,0) (1,1,2,0) (1,2,2,0)"
180,C2+C2+C5+C9,7,7,7,8,pinned,0,0.00,"(1,0,1,1) (0,0,2,2) (0,0,4,4) (0,0,3,8) (0,0,1,7) (0,0,2,5) (0,1,0,0)"
180,C2+C2+C3+C3+C5,6,7,7,8,search,697210,0.21,"(0,0,0,0,1) (0,0,0,0,2) (0,1,0,0,0) (1,0,0,1,0) (1,0,1,0,0) (1,0,1,1,0) (1,0,1,2,0)"
181,C181,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
182,C2+C7+C13,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,1,8) (0,2,3) (0,4,6) (0,1,12)"
183,C3+C61,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,3)"
184,C8+C23,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (0,8) (0,16) (0,9) (0,18)"
184,C2+C4+C23,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,0,4) (0,0,8) (0,0,16) (0,0,9) (1,0,0)"
184,C2+C2+C2+C23,7,7,7,8,pinned,0,0.00,"(1,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8) (0,0,0,16) (0,1,0,0) (0,0,1,0)"
185,C5+C37,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (3,8) (1,16) (2,32) (4,27)"
186,C2+C3+C31,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,1,4) (0,2,8) (0,1,16) (0,2,1) (0,1,2)"
187,C11+C17,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (5,16) (10,15) (9,13)"
188,C4+C47,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,8) (0,16) (0,32) (0,17)"
188,C2+C2+C47,7,7,7,8,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,1,0)"
189,C7+C27,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (1,8) (2,16) (4,5) (1,10)"
189,C3+C7+C9,7,7,7,8,pinned,0,0.00,"(0,0,1) (0,0,2) (0,0,4) (1,1,0) (2,2,0) (1,4,0) (2,1,0)"
189,C3+C3+C3+C7,6,7,7,8,search,20150227,6.44,"(0,0,1,1) (0,0,1,2) (0,0,1,3) (0,1,0,1) (1,0,0,1) (1,1,0,6) (1,2,0,3)"
190,C2+C5+C19,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,3,8) (0,1,16) (0,2,13) (0,4,7)"
191,C191,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
192,C3+C64,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,0)"
192,C2+C3+C32,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,1,4) (0,2,8) (0,1,16) (0,2,0) (1,0,0)"
192,C3+C4+C16,7,7,7,8,pinned,0,0.00,"(1,0,1) (2,0,2) (1,0,4) (2,0,8) (1,0,0) (0,1,0) (0,2,0)"
192,C2+C2+C3+C16,7,7,7,8,pinned,0,0.00,"(0,0,1,1) (0,0,2,2) (0,0,1,4) (0,0,2,8) (0,0,1,0) (1,0,0,0) (0,1,0,0)"
192,C3+C8+C8,7,7,7,8,pinned,0,0.00,"(1,1,0) (2,2,0) (1,4,0) (2,0,0) (0,0,1) (0,0,2) (0,0,4)"
192,C2+C3+C4+C8,7,7,7,8,pinned,0,0.00,"(0,1,0,1) (0,2,0,2) (0,1,0,4) (0,2,0,0) (0,0,1,0) (0,0,2,0) (1,0,0,0)"
192,C2+C2+C2+C3+C8,7,7,7,8,pinned,0,0.00,"(0,0,0,1,1) (0,0,0,2,2) (0,0,0,1,4) (0,0,0,2,0) (1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0)"
192,C3+C4+C4+C4,7,7,7,8,pinned,0,0.00,"(1,1,0,0) (2,2,0,0) (1,0,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)"
192,C2+C2+C3+C4+C4,7,7,7,8,pinned,0,0.00,"(0,0,1,1,0) (0,0,2,2,0) (0,0,1,0,0) (0,0,0,0,1) (0,0,0,0,2) (1,0,0,0,0) (0,1,0,0,0)"
192,C2+C2+C2+C2+C3+C4,7,7,7,8,pinned,0,0.00,"(0,0,0,0,1,1) (0,0,0,0,2,2) (0,0,0,0,1,0) (1,0,0,0,0,0) (0,1,0,0,0,0) (0,0,1,0,0,0) (0,0,0,1,0,0)"
192,C2+C2+C2+C2+C2+C2+C3,7,7,7,8,pinned,0,0.01,"(1,0,0,0,0,0,1) (0,0,0,0,0,0,2) (0,1,0,0,0,0,0) (0,0,1,0,0,0,0) (0,0,0,1,0,0,0) (0,0,0,0,1,0,0) (0,0,0,0,0,1,0)"
193,C193,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
194,C2+C97,7,7,7,8,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64)"
195,C3+C5+C13,7,7,7,8,pinned,0,0.00,"(1,1,1) (2,2,2) (1,4,4) (2,3,8) (1,1,3) (2,2,6) (1,4,12)"
196,C4+C49,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,8) (0,16) (0,32) (0,15)"
196,C4+C7+C7,6,7,7,8,search,1574121,0.37,"(0,0,1) (0,1,0) (0,1,2) (0,1,4) (0,3,1) (1,0,0) (2,0,0)"
196,C2+C2+C49,7,7,7,8,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,1,0)"
196,C2+C2+C7+C7,6,7,7,8,search,2089251,0.56,"(0,0,0,1) (0,0,1,0) (0,0,1,2) (0,0,1,4) (0,0,3,1) (0,1,0,0) (1,0,0,0)"
197,C197,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
198,C2+C9+C11,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,8,8) (0,7,5) (0,5,10) (0,1,9)"
198,C2+C3+C3+C11,7,7,7,8,pinned,0,0.00,"(1,1,0,1) (0,2,0,2) (0,1,0,4) (0,2,0,8) (0,1,0,5) (0,2,0,10) (0,0,1,0)"
199,C199,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
200,C8+C25,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (0,8) (0,16) (0,7) (0,14)"
200,C5+C5+C8,7,7,7,8,pinned,0,0.00,"(1,0,1) (2,0,2) (4,0,4) (3,0,0) (1,0,0) (0,1,0) (0,2,0)"
200,C2+C4+C25,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,0,4) (0,0,8) (0,0,16) (0,0,7) (1,0,0)"
200,C2+C4+C5+C5,7,7,7,8,pinned,0,0.00,"(0,1,1,0) (0,2,2,0) (0,0,4,0) (0,0,3,0) (1,0,0,1) (0,0,0,2) (0,0,0,4)"
