order,primary,invariant,classes,L,DPM,control,expected_DPM,match,counts,witness,nodes,secs,note
83,83,83,41,6,7,cyclic,7,OK,1:41;2:820;3:10127;4:73185;5:172692;6:6560,(1) (2) (4) (8) (16) (32),1641771,0.23,
84,3+4+7,84,42,6,7,,,,1:42;2:861;3:10933;4:82491;5:223119;6:23289,"(0,1,0) (0,2,0) (0,0,1) (1,0,1) (2,0,1) (1,0,3)",2226566,0.28,
84,2+2+3+7,2+42,43,6,7,,,,1:43;2:903;3:11793;4:93573;5:302511;6:53634,"(1,0,0,0) (0,1,0,0) (0,0,0,1) (0,0,1,1) (0,0,2,1) (0,0,1,3)",3000493,0.35,
85,5+17,85,42,6,7,,,,1:42;2:861;3:10920;4:81590;5:206012;6:9698,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",1977144,0.28,
86,2+43,86,43,6,7,,,,1:43;2:903;3:11767;4:91707;5:263739;6:29568,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",2592629,0.36,
87,3+29,87,43,6,7,,,,1:43;2:903;3:11753;4:90622;5:238070;6:12460,"(0,1) (1,1) (2,1) (1,3) (0,6) (0,12)",2292532,0.32,
88,8+11,88,44,6,7,,,,1:44;2:946;3:12642;4:101600;5:308501;6:58658,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4)",3224950,0.44,
88,2+4+11,2+44,45,6,7,,,,1:45;2:990;3:13587;4:114400;5:409329;6:160512,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",4781135,0.59,
88,2+2+2+11,2+2+22,47,6,7,,,,1:47;2:1081;3:15608;4:142660;5:638365;6:456820,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",8716603,0.94,
89,89,89,44,6,7,cyclic,7,OK,1:44;2:946;3:12628;4:100529;5:283272;6:20350,(1) (2) (4) (8) (16) (32),2772145,0.40,
90,2+5+9,90,45,6,7,,,,1:45;2:990;3:13559;4:112224;5:355288;6:52606,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",3607246,0.50,
90,2+3+3+5,3+30,45,6,7,,,,1:45;2:990;3:13558;4:112033;5:345796;6:28244,"(1,0,0,0) (0,0,0,1) (0,1,0,1) (0,0,1,1) (0,2,2,1) (0,2,1,2)",3372501,0.42,
91,7+13,91,45,6,7,,,,1:45;2:990;3:13545;4:111153;5:330552;6:26112,"(1,0) (0,1) (2,1) (4,1) (1,3) (2,6)",3269866,0.48,
92,4+23,92,46,6,7,,,,1:46;2:1035;3:14520;4:123772;5:414931;6:92631,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",4475649,0.63,
92,2+2+23,2+46,47,6,7,,,,1:47;2:1081;3:15554;4:138490;5:536657;6:198715,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",6238430,0.80,
93,3+31,93,46,6,7,,,,1:46;2:1035;3:14505;4:122520;5:379806;6:35070,"(0,1) (1,1) (2,1) (1,3) (0,6) (0,12)",3805057,0.55,
94,2+47,94,47,6,7,,,,1:47;2:1081;3:15525;4:136137;5:476813;6:95795,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",5095941,0.73,
95,5+19,95,47,6,7,,,,1:47;2:1081;3:15510;4:134895;5:445707;6:55263,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",4589080,0.68,
96,3+32,96,48,6,7,,,,1:48;2:1128;3:16575;4:149326;5:544016;6:140104,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",5446837,0.85,
96,2+3+16,2+48,49,6,7,,,,1:49;2:1176;3:17702;4:166132;5:696024;6:349976,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",7555114,1.10,
96,3+4+8,4+24,49,6,7,,,,1:49;2:1176;3:17702;4:166116;5:699256;6:484896,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",8151001,1.19,
96,2+2+3+8,2+2+24,51,6,7,,,,1:51;2:1275;3:20099;4:202928;5:1040768;6:1094480,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",14592251,1.89,
96,2+3+4+4,2+4+12,51,6,7,,,,1:51;2:1275;3:20099;4:202908;5:1050024;6:1440864,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)",16640533,2.19,
96,2+2+2+3+4,2+2+2+12,55,6,7,,,,1:55;2:1485;3:25493;4:290612;5:1930544;6:4319168,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1) (0,0,0,0,2)",46819940,4.97,
96,2+2+2+2+2+3,2+2+2+2+6,63,6,7,,,,1:63;2:1953;3:38905;4:533820;5:4775736;6:20248704,"(1,0,0,0,0,0) (0,1,0,0,0,0) (0,0,1,0,0,0) (0,0,0,1,0,0) (0,0,0,0,1,0) (0,0,0,0,0,1)",234193704,21.11,
97,97,97,48,6,7,cyclic,7,OK,1:48;2:1128;3:16560;4:148092;5:511632;6:71904,(1) (2) (4) (8) (16) (32),5360384,0.82,
98,2+49,98,49,6,7,,,,1:49;2:1176;3:17672;4:163611;5:625779;6:151914,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",6991749,1.07,
98,2+7+7,7+14,49,6,7,,,,1:49;2:1176;3:17672;4:163632;5:625632;6:90972,"(1,0,0) (0,1,0) (0,0,1) (0,2,1) (0,4,1) (0,1,3)",6730958,0.96,
99,9+11,99,49,6,7,,,,1:49;2:1176;3:17656;4:162165;5:581163;6:91852,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4)",6222007,0.95,
99,3+3+11,3+33,49,6,7,,,,1:49;2:1176;3:17655;4:161940;5:565638;6:63184,"(1,0,0) (0,1,1) (0,2,2) (0,1,3) (0,1,4) (0,1,5)",5843196,0.82,
100,4+25,100,50,6,7,,,,1:50;2:1225;3:18816;4:178806;5:715540;6:250090,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",8651655,1.32,
100,2+2+25,2+50,51,6,7,,,,1:51;2:1275;3:20040;4:197888;5:895000;6:502170,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",12134462,1.65,
100,4+5+5,5+20,50,6,7,,,,1:50;2:1225;3:18816;4:178836;5:722160;6:294080,"(1,0,0) (2,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",9061544,1.29,
100,2+2+5+5,10+10,51,6,7,,,,1:51;2:1275;3:20040;4:197928;5:898320;6:604920,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)",12952911,1.76,
