solution 39: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 8), (3, 7, 8), (3, 7, 11), (3, 13, 2), (3, 13, 11), (6, 7, 11), (9, 1, 2), (9, 1, 5), (9, 4, 5), (9, 4, 8), (9, 10, 2), (12, 13, 11), (12, 16, 11), (12, 16, 17), (15, 10, 2), (15, 10, 11), (15, 13, 2), (15, 13, 14), (15, 16, 11)]  empty=[(0, 1, 5), (3, 4, 8), (6, 7, 11), (9, 10, 2), (12, 16, 17), (15, 13, 14)]
solution 40: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 8), (3, 7, 8), (3, 7, 11), (3, 13, 2), (3, 13, 11), (6, 7, 11), (9, 1, 2), (9, 1, 5), (9, 4, 5), (9, 4, 8), (9, 10, 2), (12, 13, 2), (12, 16, 2), (12, 16, 17), (15, 10, 2), (15, 10, 11), (15, 13, 11), (15, 13, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 4, 8), (6, 7, 11), (9, 10, 2), (12, 16, 17), (15, 13, 14)]
solution 41: n=35 disc=1  triangles=[(0, 1, 2), (0, 16, 2), (0, 16, 5), (3, 4, 11), (3, 10, 2), (3, 10, 11), (6, 4, 11), (6, 4, 14), (6, 7, 17), (6, 13, 14), (6, 13, 17), (9, 7, 8), (9, 7, 17), (9, 10, 2), (9, 16, 2), (9, 16, 17), (12, 13, 17), (15, 4, 5), (15, 4, 14), (15, 16, 5)]  empty=[(0, 1, 2), (3, 10, 11), (6, 4, 14), (9, 7, 8), (12, 13, 17), (15, 16, 5)]
solution 42: n=35 disc=1  triangles=[(0, 1, 2), (0, 16, 2), (0, 16, 5), (3, 4, 14), (3, 7, 2), (3, 7, 14), (6, 7, 14), (6, 10, 11), (6, 10, 17), (6, 13, 14), (6, 13, 17), (9, 7, 2), (9, 7, 8), (9, 10, 17), (9, 16, 2), (9, 16, 17), (12, 13, 17), (15, 4, 5), (15, 4, 14), (15, 16, 5)]  empty=[(0, 1, 2), (3, 4, 14), (6, 10, 11), (9, 7, 8), (12, 13, 17), (15, 16, 5)]
solution 43: n=35 disc=1  triangles=[(0, 1, 2), (0, 7, 2), (0, 7, 5), (3, 4, 14), (3, 7, 2), (3, 7, 14), (6, 7, 14), (6, 10, 11), (6, 10, 17), (6, 13, 14), (6, 13, 17), (9, 7, 5), (9, 7, 8), (9, 10, 17), (9, 16, 5), (9, 16, 17), (12, 13, 17), (15, 4, 5), (15, 4, 14), (15, 16, 5)]  empty=[(0, 1, 2), (3, 4, 14), (6, 10, 11), (9, 7, 8), (12, 13, 17), (15, 16, 5)]
solution 44: n=35 disc=1  triangles=[(0, 1, 11), (0, 10, 5), (0, 10, 11), (3, 1, 2), (3, 1, 11), (3, 4, 11), (6, 4, 11), (6, 4, 14), (6, 7, 17), (6, 13, 14), (6, 13, 17), (9, 7, 8), (9, 7, 17), (9, 10, 5), (9, 16, 5), (9, 16, 17), (12, 13, 17), (15, 4, 5), (15, 4, 14), (15, 16, 5)]  empty=[(0, 10, 11), (3, 1, 2), (6, 4, 14), (9, 7, 8), (12, 13, 17), (15, 16, 5)]
solution 45: n=35 disc=1  triangles=[(0, 1, 8), (0, 7, 8), (0, 7, 14), (0, 13, 5), (0, 13, 14), (3, 1, 2), (3, 1, 8), (3, 4, 8), (6, 7, 14), (6, 10, 11), (6, 10, 17), (6, 16, 14), (6, 16, 17), (9, 4, 5), (9, 4, 8), (9, 10, 17), (9, 13, 5), (9, 13, 17), (12, 13, 17), (15, 16, 14)]  empty=[(0, 7, 8), (3, 1, 2), (6, 10, 11), (9, 4, 5), (12, 13, 17), (15, 16, 14)]
solution 46: n=35 disc=1  triangles=[(0, 1, 2), (0, 7, 2), (0, 7, 14), (0, 13, 5), (0, 13, 14), (3, 4, 8), (3, 7, 2), (3, 7, 8), (6, 7, 14), (6, 10, 11), (6, 10, 17), (6, 16, 14), (6, 16, 17), (9, 4, 5), (9, 4, 8), (9, 10, 17), (9, 13, 5), (9, 13, 17), (12, 13, 17), (15, 16, 14)]  empty=[(0, 1, 2), (3, 7, 8), (6, 10, 11), (9, 4, 5), (12, 13, 17), (15, 16, 14)]
solution 47: n=35 disc=1  triangles=[(0, 1, 8), (0, 7, 8), (0, 7, 14), (0, 10, 5), (0, 10, 17), (0, 16, 14), (0, 16, 17), (3, 1, 2), (3, 1, 8), (3, 4, 8), (6, 7, 14), (6, 10, 11), (6, 10, 17), (6, 13, 14), (6, 13, 17), (9, 4, 5), (9, 4, 8), (9, 10, 5), (12, 13, 17), (15, 16, 14)]  empty=[(0, 7, 8), (3, 1, 2), (6, 10, 11), (9, 4, 5), (12, 13, 17), (15, 16, 14)]
solution 48: n=35 disc=1  triangles=[(0, 1, 11), (0, 10, 5), (0, 10, 11), (3, 4, 5), (3, 13, 5), (3, 13, 14), (3, 16, 2), (3, 16, 14), (6, 1, 2), (6, 1, 11), (6, 7, 5), (6, 13, 5), (6, 13, 17), (6, 16, 2), (6, 16, 17), (9, 7, 5), (9, 7, 8), (9, 10, 5), (12, 13, 17), (15, 16, 14)]  empty=[(0, 10, 11), (3, 4, 5), (6, 1, 2), (9, 7, 8), (12, 13, 17), (15, 16, 14)]
