seg 41400/50000  x=8.28e+11  18634s  eta 3871s
seg 41600/50000  x=8.32e+11  18740s  eta 3784s
seg 41800/50000  x=8.36e+11  18866s  eta 3701s
seg 42000/50000  x=8.40e+11  18973s  eta 3614s
seg 42200/50000  x=8.44e+11  19084s  eta 3527s
seg 42400/50000  x=8.48e+11  19185s  eta 3439s
seg 42600/50000  x=8.52e+11  19294s  eta 3351s
seg 42800/50000  x=8.56e+11  19418s  eta 3267s
seg 43000/50000  x=8.60e+11  19535s  eta 3180s
seg 43200/50000  x=8.64e+11  19639s  eta 3091s
seg 43400/50000  x=8.68e+11  19742s  eta 3002s
seg 43600/50000  x=8.72e+11  19843s  eta 2913s
seg 43800/50000  x=8.76e+11  19953s  eta 2824s
seg 44000/50000  x=8.80e+11  20079s  eta 2738s
seg 44200/50000  x=8.84e+11  20192s  eta 2650s
seg 44400/50000  x=8.88e+11  20289s  eta 2559s
seg 44600/50000  x=8.92e+11  20390s  eta 2469s
seg 44800/50000  x=8.96e+11  20473s  eta 2376s
seg 45000/50000  x=9.00e+11  20574s  eta 2286s
seg 45200/50000  x=9.04e+11  20666s  eta 2195s
seg 45400/50000  x=9.08e+11  20760s  eta 2103s
seg 45600/50000  x=9.12e+11  20848s  eta 2012s
seg 45800/50000  x=9.16e+11  20947s  eta 1921s
seg 46000/50000  x=9.20e+11  21055s  eta 1831s
seg 46200/50000  x=9.24e+11  21141s  eta 1739s
seg 46400/50000  x=9.28e+11  21254s  eta 1649s
seg 46600/50000  x=9.32e+11  21347s  eta 1558s
seg 46800/50000  x=9.36e+11  21434s  eta 1466s
seg 47000/50000  x=9.40e+11  21524s  eta 1374s
seg 47200/50000  x=9.44e+11  21630s  eta 1283s
seg 47400/50000  x=9.48e+11  21737s  eta 1192s
seg 47600/50000  x=9.52e+11  21843s  eta 1101s
seg 47800/50000  x=9.56e+11  21948s  eta 1010s
seg 48000/50000  x=9.60e+11  22093s  eta 921s
seg 48200/50000  x=9.64e+11  22223s  eta 830s
seg 48400/50000  x=9.68e+11  22352s  eta 739s
seg 48600/50000  x=9.72e+11  22479s  eta 648s
seg 48800/50000  x=9.76e+11  22607s  eta 556s
seg 49000/50000  x=9.80e+11  22729s  eta 464s
seg 49200/50000  x=9.84e+11  22855s  eta 372s
seg 49400/50000  x=9.88e+11  22973s  eta 279s
seg 49600/50000  x=9.92e+11  23114s  eta 186s
seg 49800/50000  x=9.96e+11  23242s  eta 93s
seg 50000/50000  x=1.00e+12  23362s  eta 0s
done 23362.3 s
