graph6	class	class_sizes
S??????_E?M?R??eDA@E?B_AO_?J??b??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@E?BO?D_C`??d??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@E?AoAO_?J??h??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@E?AgA@_?i??h??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@B?AW?B_?k?Cg??	E	[13, 13, 12, 12]
S??????_E?M?QCHCQ_@c?@o?B_?PO?R??	E	[13, 13, 12, 12]
S??????_E?M?QCHCQ_@K?E_?B_?BO?R??	E	[13, 13, 12, 12]
S??????_E?M?QCHCQ_@K?Co?B_?PO?R??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@g?E_?B_?BO?R??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@g?Aa?B_?R??b??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?w?EO?@g?F?@D??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@S?Ao?@g?b??h??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@K?E_?P_?BO?R??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@K?Co?P_?PO?R??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@I?CW?X??DO?T??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@I?CW?R??PO?T??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@I?Aa?Q_?R??b??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@I?AQ?P_?d??T??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@I??q?P_?p??T??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo@I??q?H_?d??p??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?E_?B_?BO@P??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?EO?B_?DO@P??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?EO?Ag?T?@B??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?KG?@g?T??U??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?EG?a_?F??QO?	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?EG?Ag?U?@B??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?Cg?J??BO@P??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?Cg?Gg?U?@B??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?i?CW?H_?T?@CO?	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?Y?KO?P_?DO?T??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?Y?EO?P_?DO@D??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?Y?EO?Og?F?@D??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?Y?IG?QG?F??b??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?Y?IG?BG?d??b??	E	[13, 13, 12, 12]
S??????_E?M?QCHCOo?Y?IG?Ag?e??b??	E	[13, 13, 12, 12]
