graph6	class	class_sizes
O???C@_eEAECT?Ao@o@K?	E	[10, 10, 10, 10]
O???C@_eEABCT?B_Co@E?	E	[10, 10, 10, 10]
O???C@_eEAAcT?H_DO?U?	E	[10, 10, 10, 10]
O???C@_eEAAcT?B_DO@E?	E	[10, 10, 10, 10]
O???C@_eEAAcS_BODO@K?	E	[10, 10, 10, 10]
O???C@_UF?F?DOAo?sCK?	E	[10, 10, 10, 10]
O???C@_UE_T?L?Ao?w?L?	E	[10, 10, 10, 10]
O???C@_UE_S_K_BG@W?M?	E	[10, 10, 10, 10]
O???C@_UE_S_KOAg@o?M?	E	[10, 10, 10, 10]
O???C@_UE_E_Go_o@o?X?	E	[10, 10, 10, 10]
O???C@_UE_P_M?H_?w?F?	E	[10, 10, 10, 10]
O???C@_UE_P_M?Go?w?L?	E	[10, 10, 10, 10]
O???C@_UE_P_B_@oCW@`?	E	[10, 10, 10, 10]
O???C@_UE_OoF?J?CW?F?	E	[10, 10, 10, 10]
O???C@_UE_OoD_H_DG?R?	E	[10, 10, 10, 10]
O???C@_UE_OoBGJ?CW?e?	E	[10, 10, 10, 10]
O???C@_UE_BGgO@g@o@K?	E	[10, 10, 10, 10]
O???C@_UE_BGIOH_Oo?L?	T2	-
O???C@_UE_OgKO@g@o@S?	E	[10, 10, 10, 10]
O???C@_UE_Og@oB_EO@P?	E	[10, 10, 10, 10]
O???C@_UE_@KHOK_@oCK?	E	[10, 10, 10, 10]
O???C@_UE_?kBOD_SO@S?	E	[10, 10, 10, 10]
O???C@_UE_?kGoM?@oCK?	E	[10, 10, 10, 10]
O???C@_UE_?kGoK_@oCW?	E	[10, 10, 10, 10]
O???C@_UE_?kAoF?SO@K?	E	[10, 10, 10, 10]
O???C@_UE_?k@oD_DODO?	E	[10, 10, 10, 10]
O???C@_UB_U?b?B_?[?M?	E	[10, 10, 10, 10]
O???C@_UB_U?b?Ao?s?M?	E	[10, 10, 10, 10]
O???C@_UB_U?`_BG@W?M?	E	[10, 10, 10, 10]
O???C@_UB_U?aOB_?s?M?	E	[10, 10, 10, 10]
O???C@_UB_U?AW@o@oCK?	E	[10, 10, 10, 10]
O???C@_UB_F?b?_g?w?M?	E	[10, 10, 10, 10]
O???C@_UB_F?aO`_?s?M?	E	[10, 10, 10, 10]
O???C@_UB_S_d?Ag@W?M?	E	[10, 10, 10, 10]
O???C@_UB_S_cOAg@o?M?	E	[10, 10, 10, 10]
O???C@_UB_E_aG`_@W?M?	E	[10, 10, 10, 10]
O???C@_UB_E_aG_o@o?M?	E	[10, 10, 10, 10]
O???C@_UB_D_e??w?wCK?	E	[10, 10, 10, 10]
O???C@_UB_D_aG`_AW?M?	E	[10, 10, 10, 10]
O???C@_UB_B_i?`_?w?F?	E	[10, 10, 10, 10]
O???C@_UB_B_aG`_CW?M?	E	[10, 10, 10, 10]
O???C@_UB_Coe?B_?kCE?	E	[10, 10, 10, 10]
O???C@_UB_SGe?@o@o?L?	E	[10, 10, 10, 10]
O???C@_UB_QC`_J?@W?M?	E	[10, 10, 10, 10]
O???C@_UB_QCB_B_?wDA?	T2	-
