n,a_max,num_anomalous_a,floor_1e9_rho
739,360,0,993267467
740,361,0,993320559
741,361,0,993302001
742,362,0,993215799
743,362,0,993332743
744,363,0,993108018
745,363,0,993359735
746,364,0,992997250
747,364,0,993383015
748,365,0,992883531
749,365,0,993402622
750,366,0,992766893
751,366,0,993418594
752,367,0,992647372
753,367,0,993430971
754,368,0,992525000
755,368,0,993439790
756,369,0,992399811
757,369,0,993445088
758,370,0,992271836
759,370,0,993446902
760,371,0,992141110
761,371,0,993445269
762,372,0,992007663
763,372,0,993440224
764,373,0,991871526
765,373,0,993431804
766,374,0,991732732
767,374,0,993420043
768,375,0,991591311
769,375,0,993404977
770,376,0,991447293
771,376,0,993386641
772,377,0,991300710
773,377,0,993365069
774,378,0,991151589
775,378,0,993340293
776,379,0,990999961
777,379,0,993312349
778,380,0,990845856
779,380,0,993281269
780,380,0,990813137
781,381,0,993247086
782,381,0,990907381
783,382,0,993209832
784,382,0,990997922
785,383,0,993169540
786,383,0,991084796
787,384,0,993126240
788,384,0,991168037
789,385,0,993079966
790,385,0,991247681
791,386,0,993030747
792,386,0,991323762
793,387,0,992978614
794,387,0,991396315
795,388,0,992923599
796,388,0,991465372
797,389,0,992865730
798,389,0,991530968
799,390,0,992805038
800,390,0,991593135
801,391,0,992741552
802,391,0,991651907
803,392,0,992675302
804,392,0,991707315
805,393,0,992606315
806,393,0,991759393
807,394,0,992534622
808,394,0,991808171
809,395,0,992460249
810,395,0,991853681
811,396,0,992383225
812,396,0,991895955
813,397,0,992303578
814,397,0,991935023
815,398,0,992221335
816,398,0,991970916
817,399,0,992136523
818,399,0,992003664
819,400,0,992049169
820,400,0,992033297
821,401,0,991959299
822,401,0,992059844
823,402,0,991866939
824,402,0,992083336
825,403,0,991772117
826,403,0,992103801
827,404,0,991674856
828,404,0,992121267
829,405,0,991575183
830,405,0,992135764
831,406,0,991473123
832,406,0,992147320
833,407,0,991368701
834,407,0,992155962
835,408,0,991261941
836,408,0,992161718
837,409,0,991152868
838,409,0,992164616
839,410,0,991041506
840,410,0,992164683
841,411,0,990927878
842,411,0,992161945
843,412,0,990812009
844,412,0,992156430
845,413,0,990693922
846,413,0,992148163
847,414,0,990573641
848,414,0,992137171
849,415,0,990451187
850,415,0,992123479
851,416,0,990326583
852,416,0,992107113
853,417,0,990199853
854,417,0,992088099
855,418,0,990071018
856,418,0,992066461
857,419,0,989940101
858,419,0,992042225
859,420,0,989807123
860,420,0,992015414
861,420,0,989778969
862,421,0,991986053
863,421,0,989860248
864,422,0,991954167
865,422,0,989938506
866,423,0,991919780
867,423,0,990013770
868,424,0,991882914
869,424,0,990086067
870,425,0,991843594
871,425,0,990155422
872,426,0,991801842
873,426,0,990221861
874,427,0,991757682
875,427,0,990285409
876,428,0,991711136
877,428,0,990346091
878,429,0,991662227
879,429,0,990403933
880,430,0,991610977
881,430,0,990458959
882,431,0,991557408
883,431,0,990511194
884,432,0,991501543
885,432,0,990560661
886,433,0,991443403
887,433,0,990607385
888,434,0,991383009
889,434,0,990651389
890,435,0,991320383
891,435,0,990692698
892,436,0,991255545
893,436,0,990731334
894,437,0,991188518
895,437,0,990767322
896,438,0,991119320
897,438,0,990800682
898,439,0,991047974
899,439,0,990831440
900,440,0,990974499
901,440,0,990859616
902,441,0,990898914
903,441,0,990885234
904,442,0,990821241
905,442,0,990908316
906,443,0,990741499
907,443,0,990928883
908,444,0,990659707
909,444,0,990946957
910,445,0,990575885
911,445,0,990962560
912,446,0,990490052
913,446,0,990975713
914,447,0,990402227
915,447,0,990986438
916,448,0,990312429
917,448,0,990994754
918,449,0,990220676
919,449,0,991000684
920,450,0,990126986
921,450,0,991004248
922,451,0,990031379
923,451,0,991005466
924,452,0,989933872
925,452,0,991004358
926,453,0,989834483
927,453,0,991000945
928,454,0,989733230
929,454,0,990995246
930,455,0,989630131
931,455,0,990987282
932,456,0,989525202
933,456,0,990977070
934,457,0,989418462
935,457,0,990964632
936,458,0,989309927
937,458,0,990949986
938,459,0,989199615
939,459,0,990933151
940,460,0,989087542
941,460,0,990914146
942,461,0,988973725
943,461,0,990892990
944,462,0,988858179
945,462,0,990869701
946,462,0,988833780
947,463,0,990844298
948,463,0,988904365
949,464,0,990816798
950,464,0,988972462
951,465,0,990787220
952,465,0,989038092
953,466,0,990755582
954,466,0,989101274
955,467,0,990721902
956,467,0,989162028
957,468,0,990686196
958,468,0,989220372
959,469,0,990648483
960,469,0,989276326
961,470,0,990608779
962,470,0,989329909
963,471,0,990567102
964,471,0,989381140
965,472,0,990523469
966,472,0,989430038
967,473,0,990477897
968,473,0,989476620
969,474,0,990430401
970,474,0,989520906
971,475,0,990381000
972,475,0,989562914
973,476,0,990329708
974,476,0,989602661
975,477,0,990276543
976,477,0,989640166
977,478,0,990221520
978,478,0,989675446
979,479,0,990164656
980,479,0,989708519
981,480,0,990105966
982,480,0,989739402
983,481,0,990045465
984,481,0,989768113
985,482,0,989983170
986,482,0,989794669
987,483,0,989919096
988,483,0,989819087
989,484,0,989853258
990,484,0,989841385
991,485,0,989785672
992,485,0,989861577
993,486,0,989716351
994,486,0,989879682
995,487,0,989645312
996,487,0,989895716
997,488,0,989572569
998,488,0,989909695
999,489,0,989498136
1000,489,0,989921635
1001,490,0,989422028
1002,490,0,989931553
1003,491,0,989344260
1004,491,0,989939464
1005,492,0,989264845
1006,492,0,989945385
