name,status,comment,set_index,verdict,detail
"SDS(247,127,63,[247])",All,Prime Power Pair,1,INVALID,autocorrelation at d=1 is 65 != lam=63
"SDS(247,127,63,[247])",All,Prime Power Pair,2,INVALID,autocorrelation at d=2 is 61 != lam=63
"SDS(247,127,63,[247])",All,Prime Power Pair,3,INVALID,autocorrelation at d=1 is 61 != lam=63
"SDS(25,24,-1,[5,5])",Yes,"PDS construction of He, Chen and Ge",0,VALID,
"SDS(257,256,-1,[257])",Yes,Paley,0,VALID,
"SDS(269,201,16,[269])",Yes,Orbit Exhaust with forced multiplier,0,VALID,
"SDS(269,268,-1,[269])",Yes,Paley,0,VALID,
"SDS(277,208,17,[277])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 21 != lam=17
"SDS(277,276,-1,[277])",Yes,Paley,0,VALID,
"SDS(281,280,-1,[281])",Yes,Paley,0,VALID,
"SDS(283,142,69,[283])",All,Paley and zero,0,VALID,
"SDS(289,288,-1,[17,17])",Yes,"PDS construction of He, Chen and Ge",0,VALID,
"SDS(29,28,-1,[29])",Yes,Paley,0,VALID,
"SDS(29,8,1,[29])",All,Quartic residues and zero,0,VALID,
"SDS(293,292,-1,[293])",Yes,Paley,0,VALID,
"SDS(307,154,75,[307])",All,Paley and zero,0,VALID,
"SDS(307,154,75,[307])",All,Paley and zero,1,VALID,
"SDS(31,16,6,[31])",Yes,"First SDS is Paley with zero, second is from orbit exhaust with forced multiplier",0,VALID,
"SDS(31,16,6,[31])",Yes,"First SDS is Paley with zero, second is from orbit exhaust with forced multiplier",1,VALID,
"SDS(31,19,9,[31])",Yes,Orbit Exhaust with forced multiplier,0,VALID,
"SDS(31,24,4,[31])",All,Orbit Exhaust,0,VALID,
"SDS(311,156,76,[311])",Yes,Paley and zero,0,VALID,
"SDS(313,312,-1,[313])",Yes,Paley,0,VALID,
"SDS(317,316,-1,[317])",Yes,Paley,0,VALID,
"SDS(331,166,81,[331])",Yes,Paley and zero,0,VALID,
"SDS(337,336,-1,[337])",Yes,Paley,0,VALID,
"SDS(347,174,85,[347])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=3 is 87 != lam=85
"SDS(349,348,-1,[349])",Yes,Paley,0,VALID,
"SDS(349,88,21,[349])",All,Quartic residues and zero,0,VALID,
"SDS(35,19,3,[35])",All,Orbit exhaust,0,VALID,
"SDS(35,21,10,[35])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 12 != lam=10
"SDS(35,21,10,[35])",All,Orbit Exhaust,1,INVALID,autocorrelation at d=1 is 8 != lam=10
"SDS(35,21,10,[35])",All,Orbit Exhaust,2,INVALID,autocorrelation at d=1 is 12 != lam=10
"SDS(35,21,10,[35])",All,Orbit Exhaust,3,INVALID,autocorrelation at d=2 is 12 != lam=10
"SDS(353,352,-1,[353])",Yes,Paley,0,VALID,
"SDS(359,180,88,[359])",Yes,Paley and zero,0,VALID,
"SDS(361,360,-1,[19,19])",Yes,"PDS construction of He, Chen and Ge",0,VALID,
"SDS(367,184,90,[367])",Yes,Paley and zero,0,VALID,
"SDS(37,36,-1,[37])",Yes,Paley,0,VALID,
"SDS(373,280,207,[373])",All,Orbit exhaust,0,VALID,
"SDS(373,372,-1,[373])",Yes,Paley,0,VALID,
"SDS(379,190,93,[379])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 95 != lam=93
"SDS(383,192,94,[383])",Yes,Paley and zero,0,VALID,
"SDS(389,388,-1,[389])",Yes,Paley,0,VALID,
"SDS(391,199,99,[391])",All,Prime Power Pair,0,VALID,
"SDS(397,396,-1,[397])",Yes,Paley,0,VALID,
"SDS(401,400,-1,[401])",Yes,Paley,0,VALID,
"SDS(409,408,-1,[409])",Yes,Paley,0,VALID,
"SDS(41,40,-1,[41])",Yes,Paley,0,VALID,
"SDS(421,420,-1,[421])",Yes,Paley,0,VALID,
"SDS(43,22,9,[43])",All,Paley and zero,0,VALID,
"SDS(431,216,106,[431])",Yes,Paley and zero,0,VALID,
"SDS(433,432,-1,[433])",Yes,Paley,0,VALID,
"SDS(439,220,108,[439])",Yes,Orbit Exhaust with forced multiplier,0,VALID,
"SDS(439,220,108,[439])",Yes,Orbit Exhaust with forced multiplier,1,VALID,
"SDS(443,222,109,[443])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 111 != lam=109
"SDS(449,448,-1,[449])",Yes,Paley,0,VALID,
"SDS(457,456,-1,[457])",Yes,Paley,0,VALID,
"SDS(461,460,-1,[461])",Yes,Paley,0,VALID,
"SDS(463,232,114,[463])",Yes,Paley and zero,0,VALID,
"SDS(467,234,115,[467])",Yes,Paley and zero,0,VALID,
"SDS(47,24,10,[47])",Yes,Paley and zero,0,VALID,
"SDS(479,240,118,[479])",Yes,Paley and zero,0,VALID,
"SDS(487,244,120,[487])",Yes,Paley and zero,0,VALID,
"SDS(49,48,-1,[7,7])",Yes,"PDS construction of He, Chen and Ge",0,VALID,
"SDS(491,246,121,[491])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 123 != lam=121
"SDS(499,250,123,[499])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 121 != lam=123
"SDS(499,250,123,[499])",All,Orbit Exhaust,1,INVALID,autocorrelation at d=4 is 125 != lam=123
"SDS(5,4,-1,[5])",Yes,Paley,0,VALID,
"SDS(51,19,3,[51])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 5 != lam=3
"SDS(51,19,3,[51])",All,Orbit Exhaust,1,INVALID,autocorrelation at d=3 is 5 != lam=3
"SDS(51,19,3,[51])",All,Orbit Exhaust,2,INVALID,autocorrelation at d=1 is 5 != lam=3
"SDS(51,19,3,[51])",All,Orbit Exhaust,3,INVALID,autocorrelation at d=2 is 5 != lam=3
"SDS(53,40,27,[53])",All,Orbit exhaust,0,VALID,
"SDS(53,52,-1,[53])",Yes,Paley,0,VALID,
"SDS(55,10,1,[55])",All,Orbit exhaust,0,VALID,
"SDS(55,31,15,[55])",All,Prime Power Pair,0,VALID,
"SDS(59,30,13,[59])",All,Paley and zero,0,VALID,
"SDS(61,16,3,[61])",All,Quartic residues and zero,0,VALID,
"SDS(61,49,36,[61])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 38 != lam=36
"SDS(61,60,-1,[61])",Yes,Paley,0,VALID,
"SDS(67,34,15,[67])",All,Paley and zero,0,VALID,
"SDS(67,49,12,[67])",All,Orbit exhaust,0,VALID,
"SDS(67,49,20,[67])",All,Orbit exhaust,0,VALID,
"SDS(71,36,16,[71])",Yes,Paley and zero,0,VALID,
"SDS(71,51,1,[71])",All,Orbit Exhaust,0,VALID,
"SDS(73,36,4,[73])",All,Orbit Exhaust,0,VALID,
"SDS(73,64,0,[73])",All,Orbit Exhaust,0,VALID,
"SDS(73,72,-1,[73])",Yes,Paley,0,VALID,
"SDS(78,53,28,[78])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=2 is 30 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,1,INVALID,autocorrelation at d=1 is 30 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,2,INVALID,autocorrelation at d=1 is 26 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,3,INVALID,autocorrelation at d=1 is 26 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,4,INVALID,autocorrelation at d=1 is 30 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,5,INVALID,autocorrelation at d=2 is 24 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,6,INVALID,autocorrelation at d=1 is 26 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,7,INVALID,autocorrelation at d=2 is 30 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,8,INVALID,autocorrelation at d=1 is 30 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,9,INVALID,autocorrelation at d=2 is 30 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,10,INVALID,autocorrelation at d=1 is 30 != lam=28
"SDS(78,53,28,[78])",All,Orbit Exhaust,11,INVALID,autocorrelation at d=2 is 30 != lam=28
"SDS(79,40,18,[79])",Yes,Paley and zero,0,VALID,
"SDS(80,44,8,[80])",Yes,Orbit Exhaust with forced multiplier,0,VALID,
"SDS(80,44,8,[80])",Yes,Orbit Exhaust with forced multiplier,1,VALID,
"SDS(80,44,8,[80])",Yes,Orbit Exhaust with forced multiplier,2,VALID,
"SDS(80,44,8,[80])",Yes,Orbit Exhaust with forced multiplier,3,VALID,
"SDS(80,44,8,[80])",Yes,Orbit Exhaust with forced multiplier,4,VALID,
"SDS(80,72,36,[80])",Yes,Orbit Exhaust with forced multiplier,0,VALID,
"SDS(81,80,-1,[3,3,3,3])",Yes,"PDS construction of He, Chen and Ge",0,VALID,
"SDS(83,42,19,[83])",All,Paley and zero,0,VALID,
"SDS(883,442,219,[883])",All,Orbit Exhaust,0,VALID,
"SDS(89,33,1,[89])",All,Orbit exhaust,0,VALID,
"SDS(89,33,1,[89])",All,Orbit exhaust,1,VALID,
"SDS(89,88,-1,[89])",Yes,Paley,0,VALID,
"SDS(9,8,-1,[3,3])",Yes,"PDS construction of He, Chen and Ge",0,VALID,
"SDS(91,49,24,[91])",All,Prime Power Pair,0,VALID,
"SDS(91,76,60,[91])",All,Orbit exhaust,0,VALID,
"SDS(93,32,7,[93])",All,Orbit Exhaust,0,VALID,
"SDS(93,73,48,[93])",All,Orbit Exhaust,0,VALID,
"SDS(97,96,-1,[97])",Yes,Paley,0,VALID,
