utc,name,db_status,decision,witnesses,verified,wall_s,result_line,cmd,engine_sha256,source_sha256
2026-08-09T12:16:58Z,"SDS(19,13,6,[19])",All,EXIST,50,True,0.047,"RESULT SDS(19,13,6,[19]) EXIST nP=12 nM=1 nodes=202355 witnesses=72 mode=reduced0P secs=0.044",./sds_search 19 13 6 19 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(19,16,10,[19])",No,NONEXIST,0,True,0.005,"RESULT SDS(19,16,10,[19]) NONEXIST nP=15 nM=1 nodes=15176 witnesses=0 mode=reduced0P secs=0.003",./sds_search 19 16 10 19 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(19,18,1,[19])",No,NONEXIST,0,True,0.044,"RESULT SDS(19,18,1,[19]) NONEXIST nP=12 nM=6 nodes=224076 witnesses=0 mode=reduced0P secs=0.042",./sds_search 19 18 1 19 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(19,18,7,[19])",No,NONEXIST,0,True,0.005,"RESULT SDS(19,18,7,[19]) NONEXIST nP=15 nM=3 nodes=22317 witnesses=0 mode=reduced0P secs=0.004",./sds_search 19 18 7 19 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(19,7,1,[19])",No,NONEXIST,0,True,0.022,"RESULT SDS(19,7,1,[19]) NONEXIST nP=6 nM=1 nodes=124154 witnesses=0 mode=reduced0P secs=0.020",./sds_search 19 7 1 19 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(20,11,2,[2,10])",Open,NONEXIST,0,True,0.481,"RESULT SDS(20,11,2,[2,10]) NONEXIST nP=9 nM=2 nodes=2041340 witnesses=0 mode=reduced0P secs=0.479","./sds_search 20 11 2 2,10 --cap=50",f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(20,11,2,[20])",All,EXIST,18,True,0.566,"RESULT SDS(20,11,2,[20]) EXIST nP=9 nM=2 nodes=2488415 witnesses=18 mode=reduced0P secs=0.564",./sds_search 20 11 2 20 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(20,17,8,[2,10])",Open,NONEXIST,0,True,0.032,"RESULT SDS(20,17,8,[2,10]) NONEXIST nP=15 nM=2 nodes=137627 witnesses=0 mode=reduced0P secs=0.030","./sds_search 20 17 8 2,10 --cap=50",f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(20,17,8,[20])",No,NONEXIST,0,True,0.035,"RESULT SDS(20,17,8,[20]) NONEXIST nP=15 nM=2 nodes=153816 witnesses=0 mode=reduced0P secs=0.033",./sds_search 20 17 8 20 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(21,16,1,[21])",No,NONEXIST,0,True,5.897,"RESULT SDS(21,16,1,[21]) NONEXIST nP=11 nM=5 nodes=22624984 witnesses=0 mode=reduced0P secs=5.895",./sds_search 21 16 1 21 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(21,16,9,[21])",No,NONEXIST,0,True,0.064,"RESULT SDS(21,16,9,[21]) NONEXIST nP=15 nM=1 nodes=268692 witnesses=0 mode=reduced0P secs=0.062",./sds_search 21 16 9 21 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(21,20,4,[21])",No,NONEXIST,0,True,0.049,"RESULT SDS(21,20,4,[21]) NONEXIST nP=15 nM=5 nodes=196802 witnesses=0 mode=reduced0P secs=0.047",./sds_search 21 20 4 21 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(21,9,2,[21])",No,NONEXIST,0,True,0.167,"RESULT SDS(21,9,2,[21]) NONEXIST nP=8 nM=1 nodes=872503 witnesses=0 mode=reduced0P secs=0.165",./sds_search 21 9 2 21 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(22,16,4,[22])",No,NONEXIST,0,True,3.473,"RESULT SDS(22,16,4,[22]) NONEXIST nP=13 nM=3 nodes=13472354 witnesses=0 mode=reduced0P secs=3.471",./sds_search 22 16 4 22 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(22,18,6,[22])",No,NONEXIST,0,True,0.839,"RESULT SDS(22,18,6,[22]) NONEXIST nP=15 nM=3 nodes=3351098 witnesses=0 mode=reduced0P secs=0.836",./sds_search 22 18 6 22 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
