a,b,c,L,exact,degenerate,nodes,secs,word
2,4,9,225,0,0,400000172,8.271,"0,2,0,4,0,2,0,9,0,2,0,4,2,0,2,9,4,9,2,9,0,2,4,2,0,9,0,2,4,0,4,9,4,2,4,9,4,0,9,4,9,2,9,4,9,0,9,2,0,2,4,2,0,9,0,2,0,9,4,9,2,9,4,0,4,2,0,4,0,9,4,2,4,0,2,0,9,0,2,0,4,0,2,9,2,4,0,4,2,4,9,4,2,4,0,2,9,2,0,2,4,0,2,9,4,0,9,4,9,2,9,4,0,9,0,2,0,9,0,4,0,2,4,2,9,0,2,4,0,4,9,4,2,4,9,4,0,9,4,9,2,9,4,9,0,9,2,0,9,0,4,9,2,9,4,9,0,4,2,4,0,9,0,2,4,2,9,0,9,4,0,9,0,2,0,4,0,2,0,9,2,0,4,2,4,9,4,0,4,9,4,2,9,4,9,0,2,4,0,2,0,9,2,9,4,9,0,4,0,2,9,4,9,0,9,2,9,0,9,4,0,4,2,0,4"
3,4,9,179,0,0,400000132,7.901,"0,3,0,4,0,3,0,9,0,3,0,4,3,0,3,9,3,4,9,3,9,0,4,0,3,4,0,4,9,0,3,0,9,4,0,9,3,9,4,3,4,0,4,9,4,3,4,0,3,9,3,4,9,4,0,9,4,9,3,9,0,9,3,9,4,3,9,0,3,4,9,4,3,4,0,4,3,4,9,3,0,9,4,9,0,3,0,9,4,0,4,3,0,4,0,9,3,9,4,3,9,3,0,3,4,0,3,0,9,0,3,0,4,3,4,9,3,0,4,0,9,4,0,4,3,4,0,4,9,0,9,3,9,4,9,3,9,0,3,9,4,3,4,0,4,9,4,3,4,0,3,0,9,0,4,3,0,4,9,4,3,0,3,9,0,3,0,4,3,9,3,4,3,0,4,9,0,4,3"
1,5,9,232,0,0,400000192,8.532,"0,1,0,5,0,1,0,9,0,1,0,5,1,0,1,9,1,0,1,5,1,9,5,0,9,1,0,1,5,0,1,0,9,0,5,9,5,1,9,5,9,0,9,1,0,1,5,1,9,5,1,5,0,9,5,9,1,9,5,9,0,9,5,1,0,1,9,0,9,5,9,0,9,1,0,9,0,5,0,1,5,1,9,5,0,9,1,0,9,0,5,9,1,9,5,0,9,5,1,9,1,0,1,5,1,0,1,9,0,1,0,5,0,9,5,9,1,5,0,5,9,0,5,0,1,0,9,0,1,0,5,1,0,1,9,1,0,1,5,1,9,5,1,5,0,1,0,9,0,5,0,1,0,9,1,5,9,5,0,9,1,5,1,9,1,0,5,0,9,5,9,1,9,5,9,0,9,1,0,9,0,5,0,9,0,1,9,1,5,9,1,0,9,0,5,0,1,0,9,1,0,1,5,1,0,1,9,1,5,9,0,5,1,9,5,9,0,9,5,9,1,9,0,1,0,5,9,0,9,1,9,0"
2,5,9,200,0,0,400000136,8.269,"0,2,0,5,0,2,0,9,0,2,0,5,2,0,2,9,2,0,2,5,2,9,5,0,9,0,2,0,5,0,9,5,2,5,9,0,9,2,9,5,2,5,0,2,0,9,2,0,2,5,9,2,9,0,9,2,9,5,9,0,2,5,2,9,5,9,0,9,5,9,2,5,9,5,0,5,2,5,9,2,0,2,9,2,5,9,2,0,5,9,5,2,9,2,0,9,0,5,2,0,5,9,5,2,0,2,5,2,9,0,5,9,2,5,2,0,2,9,2,0,2,5,0,2,0,9,0,5,0,2,5,2,9,2,0,5,9,5,0,5,2,5,0,9,2,9,5,9,0,2,0,9,5,0,2,5,2,9,2,0,9,2,9,5,9,0,9,5,9,2,5,9,5,0,5,2,0,5,0,9,2,9,5,0,9,0,2,0,5,0,2,0,9,2,5,0,9,2,0,9"
3,5,9,165,0,0,400000136,7.826,"0,3,0,5,0,3,0,9,0,3,0,5,3,0,3,9,3,5,9,0,5,9,3,9,5,0,9,0,3,9,0,9,5,9,3,9,5,9,0,5,9,3,5,3,0,3,9,0,5,9,5,3,9,5,9,0,9,3,0,9,0,5,0,3,5,3,9,0,9,5,0,5,3,5,9,3,0,3,5,0,3,0,9,0,3,0,5,3,5,9,0,3,0,5,0,9,0,5,0,3,5,9,5,0,3,5,3,9,5,9,0,9,5,3,0,5,3,5,9,3,9,0,9,3,9,5,9,0,5,0,3,5,9,5,3,5,0,3,0,9,0,5,0,3,0,9,3,5,3,0,5,3,5,9,3,0,9,0,5,0,9,3,9,5,9"
4,5,9,60,1,1,7701508,0.100,"0,9,4,0,5,9,5,4,9,4,0,4,9,5,9,4,9,5,0,5,4,0,4,9,4,0,5,0,4,0,5,9,5,0,5,9,4,9,5,9,0,5,0,4,9,4,0,4,9,5,9,4,9,0,4,0,5,9,4,5"
1,6,9,213,0,0,400000188,8.358,"0,1,0,6,0,1,0,9,0,1,0,6,1,0,1,9,1,0,1,6,1,9,6,0,6,1,9,1,0,9,1,9,6,9,0,6,1,6,0,9,6,0,1,0,9,1,0,1,6,1,9,1,0,9,6,9,0,1,0,6,1,6,9,6,0,9,6,9,1,9,6,9,0,9,1,0,9,0,6,1,6,9,0,6,9,1,9,0,1,9,1,6,0,1,6,9,6,1,0,6,0,9,0,6,1,0,1,9,0,9,6,0,1,6,1,9,1,0,1,6,0,1,0,9,0,1,0,6,1,6,9,0,1,0,6,0,9,0,6,0,1,6,9,6,1,6,0,1,0,9,0,1,0,6,1,0,9,1,6,9,1,9,0,9,1,9,6,9,0,6,9,6,1,0,6,0,9,0,1,0,6,1,6,9,6,0,6,1,6,9,1,0,1,6,0,1,0,9,0,6,0,1,6,0,6,9,6,0,6,1,0,1,9"
2,6,9,199,0,0,400000176,8.016,"0,2,0,6,0,2,0,9,0,2,0,6,2,0,2,9,2,6,2,0,6,0,9,0,2,9,6,9,0,6,9,6,2,6,9,6,0,6,2,0,6,0,9,0,6,0,2,6,2,9,0,6,9,2,9,0,6,0,9,2,0,6,2,6,9,6,0,9,6,9,2,9,6,9,0,9,2,0,6,0,9,2,9,6,9,2,0,2,9,6,2,6,0,2,0,9,6,9,2,0,9,0,6,0,9,0,2,0,9,6,2,6,0,2,0,9,0,2,0,6,2,0,2,9,2,6,2,0,6,0,9,0,2,0,9,0,6,9,6,2,6,0,2,9,2,6,9,6,0,9,6,9,2,9,0,2,6,0,2,9,0,6,9,0,9,2,0,2,6,0,2,0,9,2,0,2,6,0,6,9,6,2,0,2,9,2,6,2,9,2,0,9,0,6,0,2,0,9,0"
1,7,9,262,0,0,400000244,9.436,"0,1,0,7,0,1,0,9,0,1,0,7,1,0,1,9,1,0,1,7,1,9,7,0,7,1,0,1,9,0,9,7,9,1,7,9,7,0,9,1,0,7,1,7,9,7,1,7,0,7,9,0,7,0,1,7,1,9,7,0,9,0,1,0,7,0,1,0,9,1,0,1,7,1,0,1,9,1,7,9,0,9,7,1,7,0,1,7,1,9,1,0,1,7,0,1,0,9,7,0,7,1,7,0,7,9,7,1,9,1,0,9,1,9,7,9,0,7,9,7,1,7,9,7,0,9,0,1,7,9,7,0,7,1,7,0,7,9,0,1,9,0,7,0,9,1,0,1,7,0,1,0,9,0,7,0,9,0,1,9,0,9,7,9,1,7,0,1,0,9,0,7,0,1,7,9,7,0,9,7,9,1,7,0,1,9,0,9,7,9,1,9,7,9,0,7,9,7,1,7,9,7,0,7,1,0,1,9,0,7,9,7,1,7,9,0,9,1,9,7,9,1,9,0,1,0,7,0,1,0,9,0,7,1,7,0,7,9,1,9,7,9,0,7,1,7,0,9,7,0,1,0,9,0,7,9,7,1,0,7,0,9"
2,7,9,60,1,1,7705908,0.101,"0,9,2,0,7,9,7,2,9,2,0,2,9,7,9,2,9,7,0,7,2,0,2,9,2,0,7,0,2,0,7,9,7,0,7,9,2,9,7,9,0,7,0,2,9,2,0,2,9,7,9,2,9,0,2,0,7,9,2,7"
