cube,status,seconds,conflicts,proof_sha256,note
37.31.-43.-33.41.-34.40.-29,UNSAT,0.03,991,61bd8f689e813093f81063458875d81b9c599957e3205016c8bad0c34e41ce7b,49778
37.31.-43.-33.-41.34.40.29,UNSAT,0.02,1806,4ee413bcf5192282eb315e59c472b2902cab9c95f1b578707ddce090374611f8,85870
37.31.-43.-33.41.-34.-40.-29,UNSAT,0.01,994,bd663d82cc7e8ea2b356a446be54e01dad57c9e25672acfdb491d7def6cb8ebe,46968
37.31.-43.-33.-41.34.40.-29,UNSAT,0.01,1132,8ea8a401f3c311a230b566503b0c5cdba74cae497dff26ef4ab4d17a426b9f1a,54589
37.31.-43.-33.-41.34.-40.29,UNSAT,0.02,1373,3f50b5af5db9a4868cf0c1e2591b6a723052ecd4782dd8f7602a89b78c6c77d8,65467
37.31.-43.-33.-41.34.-40.-29,UNSAT,0.01,1018,33dfd20e2ab549c535262fde58a6eeb6b1f2cd852ac09d4a2fef4fe96c9b5fa0,49801
37.31.-43.-33.-41.-34.40.-29,UNSAT,0.02,917,6b2a7d29a374670aad38d25ecdf3d78d68a8ed50f667f09acd0f3d4b4867f619,46801
37.31.-43.-33.-41.-34.40.29,UNSAT,0.01,1688,db689ce31108ff743b254e7e51464df3bd520c348bfe17ea81745b610a4bcb4c,83538
37.31.-43.-33.-41.-34.-40.-29,UNSAT,0.01,549,88060c6c2465a800f6d2ac98a723bea1e7b179feab7447402f71080a4b50cd30,28775
37.31.-43.-33.-41.-34.-40.29,UNSAT,0.03,783,29144404bb696192e0eb570af96b23acccb50a49acedaa9b3f151c90c6f1ed69,42052
37.-31.-43.33.41.34.40.-29,UNSAT,0.03,1324,4045d937c7d882b421109594620a51ba38513cfebe735f19b37b03e9ed597b66,60789
37.-31.-43.33.41.34.40.29,UNSAT,0.04,2079,29d10f6accca385a2930555bd31d6c7839f31bc7b3347f96599a8d1103432f55,121861
37.-31.-43.33.41.34.-40.29,UNSAT,0.03,964,834daf96034b6a6933813ba5ead29627e98cbc311eee475cf428b6bf097fa924,48073
37.-31.-43.33.41.34.-40.-29,UNSAT,0.01,1337,01c7029eb5a2ff6c4f172edc547829684c21172c38910b45738e29ef1d1f3649,62225
37.-31.-43.33.41.-34.40.-29,UNSAT,0.01,1035,38de99d7912f29e4419cdc744202b7dd5711d5a895884d78e73e463b4933012f,48305
37.-31.-43.33.41.-34.-40.29,UNSAT,0.01,1360,c47d2ccd58a8c6a7181aab4047772dc33276c7fb4bc443726a11720c58a27307,94479
37.-31.-43.33.41.-34.-40.-29,INDET,0.01,,,
37.-31.-43.33.41.-34.-40.-29,SPLIT,0.01,,,->16 kids
37.-31.-43.33.41.-34.40.29,UNSAT,0.05,1497,bc3f9794c7d64b6becb5af3d72b92ff4eec797f971efa2ac3842b65ba01af507,69841
37.-31.-43.33.-41.34.40.-29,UNSAT,0.01,542,0a1962396feee699394f51a3d6af094444c250d2542d3dd4f8ac85dd6bb079e9,29933
37.-31.-43.33.-41.34.40.29,UNSAT,0.02,2224,dd73f5de1fb73ec0d27f9044ec08557a1beec05ae43f2605adf9d2aff6238420,130905
37.-31.-43.33.-41.34.-40.-29,UNSAT,0.00,217,486ddb80376d81637523b6dea83cd7db5aec0707d44222d0d98d351fe8f23ac4,14075
37.-31.-43.33.-41.34.-40.29,UNSAT,0.01,688,5991651d3ea44ac6949ab2f3e82c30de297908f9f854d6793b9cf3eacdea7093,35636
37.-31.-43.33.-41.-34.40.29,UNSAT,0.01,1584,915781becb9a47bcf125be970b3dee34806e4ae771c1f91c0c33f7c1a4a161c7,77107
37.-31.-43.33.-41.-34.40.-29,UNSAT,0.01,514,e244b2711b4c671ced2185044ed47f9c785fb1fcdccce458f31ccd4488cfb4df,29417
37.-31.-43.33.-41.-34.-40.-29,UNSAT,0.00,349,0253cd880ec37a8dbee799978b89346b68a05f151e65581fbe86aefa8fe85ae2,26392
37.-31.-43.33.-41.-34.-40.29,UNSAT,0.01,893,4e969a70d858430ce6351f5b9f673d75dc16d10ceba087f842f30f1bdda25a00,45840
-37.31.43.33.41.34.40.-29,UNSAT,0.04,3412,dd1ccd8d140e478fa31cef05e7ec797cceea692b8563c230b6751daf1c48faf5,177228
-37.31.43.33.41.34.-40.29,UNSAT,0.02,2090,62331bbfd5d788f409e79543d7f42c7367ca8a6c91a734e336e48848a4de8077,119638
