i,c_i,se
1.230000000000000000e+02,6.440139112764038665e-02,9.925734227525145122e-05
1.240000000000000000e+02,3.188223987380291169e-02,6.775092361440301057e-05
1.250000000000000000e+02,5.313361578597625146e-02,9.165411846841933319e-05
1.260000000000000000e+02,4.629104857600604278e-02,8.829165507818163968e-05
1.270000000000000000e+02,8.021801403574273237e-02,1.197348845903802370e-04
1.280000000000000000e+02,2.582709505824248158e-02,5.231135543462659706e-05
1.290000000000000000e+02,4.139991658640156114e-02,6.919195071472639493e-05
1.300000000000000000e+02,3.442935277887433643e-02,6.479233298563750261e-05
1.310000000000000000e+02,5.762047511831733249e-02,8.657000088256628387e-05
1.320000000000000000e+02,2.791302550270470528e-02,5.791842956256267511e-05
1.330000000000000000e+02,4.609813015841506684e-02,7.781743282465399686e-05
1.340000000000000000e+02,3.953233382412418839e-02,7.388964930940664002e-05
1.350000000000000000e+02,6.793072652911456843e-02,9.972801193161221064e-05
1.360000000000000000e+02,2.473286891144513971e-02,5.247426917316245744e-05
1.370000000000000000e+02,4.004564783584015769e-02,6.992368581510831783e-05
1.380000000000000000e+02,3.363732858085632244e-02,6.610057458955922169e-05
1.390000000000000000e+02,5.677753826768323908e-02,8.866002582266179334e-05
1.400000000000000000e+02,2.774260841291335822e-02,6.022092971738879895e-05
1.410000000000000000e+02,4.631249503323435490e-02,8.097697222479956008e-05
1.420000000000000000e+02,4.028189659480253815e-02,7.780212069503100757e-05
1.430000000000000000e+02,7.001704281209657210e-02,1.052562320499294526e-04
1.440000000000000000e+02,2.297580435827995329e-02,4.929140638827615928e-05
1.450000000000000000e+02,3.717713507281988905e-02,6.549683407446425115e-05
1.460000000000000000e+02,3.109057623250037483e-02,6.174978045165839947e-05
1.470000000000000000e+02,5.242557132047662855e-02,8.272131546509637029e-05
1.480000000000000000e+02,2.518276484219978198e-02,5.530627558809547771e-05
1.490000000000000000e+02,4.202842207644010702e-02,7.468264485864299326e-05
1.500000000000000000e+02,3.619735042883145265e-02,7.109407832400004381e-05
1.510000000000000000e+02,6.274834559018413471e-02,9.644222031009374522e-05
1.520000000000000000e+02,2.249839637805893869e-02,5.092175143587405095e-05
1.530000000000000000e+02,3.683816664200337959e-02,6.810190401722389006e-05
1.540000000000000000e+02,3.114284779480099713e-02,6.454594374398827121e-05
1.550000000000000000e+02,5.317345051546270435e-02,8.713415624291356854e-05
1.560000000000000000e+02,2.575183497983465561e-02,5.909909113527443469e-05
1.570000000000000000e+02,4.364110723373604284e-02,8.024490780719906863e-05
1.580000000000000000e+02,3.816650136894857159e-02,7.711004961000894348e-05
1.590000000000000000e+02,6.717020458733290178e-02,1.050911553713691185e-04
1.600000000000000000e+02,2.074603969259559977e-02,4.634599652921220144e-05
1.610000000000000000e+02,3.384093373140196342e-02,6.180089408722217088e-05
1.620000000000000000e+02,2.836369658101412297e-02,5.832337498193899728e-05
1.630000000000000000e+02,4.820707859269839773e-02,7.843957687422766639e-05
1.640000000000000000e+02,2.288787580307262773e-02,5.218532392865384115e-05
1.650000000000000000e+02,3.842017658283375381e-02,7.017097308933449378e-05
1.660000000000000000e+02,3.321247098605582815e-02,6.718185241154333426e-05
1.670000000000000000e+02,5.786889746294791165e-02,9.101428788064777988e-05
1.680000000000000000e+02,2.017437667158618678e-02,4.707310972716236203e-05
1.690000000000000000e+02,3.327399759356863829e-02,6.323435141557617488e-05
1.700000000000000000e+02,2.813835628380005616e-02,6.012346889073670353e-05
1.710000000000000000e+02,4.830113669158456191e-02,8.145485880641816141e-05
1.720000000000000000e+02,2.318110452728283991e-02,5.497734735763068823e-05
1.730000000000000000e+02,3.950794042579332949e-02,7.469599365250339303e-05
1.740000000000000000e+02,3.453010211545787939e-02,7.179899666214408351e-05
1.750000000000000000e+02,6.099438322678829572e-02,9.793916821509540249e-05
1.760000000000000000e+02,1.891330839059874452e-02,4.467310081579832027e-05
1.770000000000000000e+02,3.116359480327367953e-02,5.982445658366083492e-05
1.780000000000000000e+02,2.624106077573634677e-02,5.686033225827793265e-05
1.790000000000000000e+02,4.494133973244825858e-02,7.664688163754572198e-05
1.800000000000000000e+02,2.125656603750834817e-02,5.134372040148399717e-05
1.810000000000000000e+02,3.611433615696926780e-02,6.951551270581973589e-05
1.820000000000000000e+02,3.141055832589603747e-02,6.691746666739130421e-05
1.830000000000000000e+02,5.517843336784218622e-02,9.080653442281428169e-05
1.840000000000000000e+02,1.892379664218798302e-02,4.708020561651421541e-05
1.850000000000000000e+02,3.159681846445612508e-02,6.355668172880604228e-05
1.860000000000000000e+02,2.691236131259923045e-02,6.060170003176291510e-05
1.870000000000000000e+02,4.665921710965161701e-02,8.241770292935164178e-05
1.880000000000000000e+02,2.232078434060017283e-02,5.604560185933817463e-05
1.890000000000000000e+02,3.860382928091660171e-02,7.655407809275365774e-05
1.900000000000000000e+02,3.401992050377155435e-02,7.396454200274776261e-05
1.910000000000000000e+02,6.079601470072319019e-02,1.012353680993095535e-04
1.920000000000000000e+02,1.739720660861892101e-02,4.218385042559650634e-05
1.930000000000000000e+02,2.886117731754854476e-02,5.663719462889301245e-05
1.940000000000000000e+02,2.428488779135669351e-02,5.338777574335655730e-05
1.950000000000000000e+02,4.177600846183238126e-02,7.192773619676598841e-05
1.960000000000000000e+02,1.950937513786678637e-02,4.761635715075567210e-05
1.970000000000000000e+02,3.330722516731731558e-02,6.455399666290863314e-05
1.980000000000000000e+02,2.895736303925948787e-02,6.181705281962438761e-05
1.990000000000000000e+02,5.107456071251879198e-02,8.404336345123255159e-05
