order,moduli,invariant_factors,lower_d,upper_d,dpm,Dpm,status,nodes,seconds,witness
56,7 4 2,2 28,5,5,5,6,forced+confirmed,41202,0.272,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
56,8 7,56,5,5,5,6,forced+confirmed,27588,0.153,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
57,19 3,57,5,5,5,6,forced+confirmed,23690,0.141,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
58,29 2,58,5,5,5,6,forced+confirmed,33630,0.204,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
59,59,59,5,5,5,6,forced+confirmed,30074,0.191,"[[1], [2], [4], [8], [16]]"
60,5 3 2 2,2 30,5,5,5,6,forced+confirmed,59060,0.378,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
60,5 4 3,60,5,5,5,6,forced+confirmed,41541,0.268,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
61,61,61,5,5,5,6,forced+confirmed,36976,0.238,"[[1], [2], [4], [8], [16]]"
62,31 2,62,5,5,5,6,forced+confirmed,50260,0.335,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
63,7 3 3,3 21,5,5,5,6,forced+confirmed,40817,0.255,"[[0, 0, 1], [1, 0, 0], [1, 1, 0], [1, 2, 0], [3, 1, 0]]"
63,9 7,63,5,5,5,6,forced+confirmed,43878,0.294,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
64,2 2 2 2 2 2,2 2 2 2 2 2,6,6,6,7,forced (search capped),20000001,226.888,"[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"
64,4 2 2 2 2,2 2 2 2 4,6,6,6,7,forced+confirmed,3575021,25.271,"[[0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 0], [2, 0, 0, 0, 0]]"
64,4 4 2 2,2 2 4 4,6,6,6,7,forced+confirmed,771421,4.45,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 2, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
64,4 4 4,4 4 4,6,6,6,7,forced+confirmed,293973,1.49,"[[0, 0, 1], [0, 0, 2], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
64,8 2 2 2,2 2 2 8,6,6,6,7,forced+confirmed,599829,3.307,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0]]"
64,8 4 2,2 4 8,6,6,6,7,forced+confirmed,223005,1.151,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
64,8 8,8 8,6,6,6,7,forced+confirmed,105691,0.53,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0]]"
64,16 2 2,2 2 16,6,6,6,7,forced+confirmed,184041,0.982,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
64,16 4,4 16,6,6,6,7,forced+confirmed,101819,0.513,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
64,32 2,2 32,6,6,6,7,forced+confirmed,92299,0.502,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
64,64,64,6,6,6,7,forced+confirmed,62563,0.349,"[[1], [2], [4], [8], [16], [32]]"
65,13 5,65,6,6,6,7,forced+confirmed,55614,0.358,"[[1, 1], [2, 2], [3, 1], [4, 4], [5, 2], [6, 2]]"
66,11 3 2,66,6,6,6,7,forced+confirmed,72372,0.466,"[[0, 0, 1], [1, 1, 0], [2, 2, 0], [3, 1, 0], [4, 1, 0], [5, 1, 0]]"
67,67,67,6,6,6,7,forced+confirmed,66595,0.449,"[[1], [2], [4], [8], [16], [32]]"
68,17 2 2,2 34,6,6,6,7,forced+confirmed,125375,0.871,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
68,17 4,68,6,6,6,7,forced+confirmed,90316,0.611,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
69,23 3,69,6,6,6,7,forced+confirmed,78685,0.528,"[[1, 0], [3, 1], [5, 2], [7, 2], [9, 2], [10, 1]]"
70,7 5 2,70,6,6,6,7,forced+confirmed,106200,0.746,"[[0, 0, 1], [1, 1, 0], [1, 2, 0], [2, 2, 0], [2, 4, 0], [3, 2, 0]]"
71,71,71,6,6,6,7,forced+confirmed,96216,0.658,"[[1], [2], [4], [8], [16], [32]]"
72,3 3 2 2 2,2 6 6,5,6,6,7,gap:search-decided,287270,2.254,"[[0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 1, 1, 0, 0], [1, 0, 1, 0, 0], [1, 1, 1, 0, 0], [1, 2, 1, 0, 0]]"
72,4 3 3 2,6 12,5,6,6,7,gap:search-decided,169047,1.159,"[[0, 0, 0, 1], [1, 0, 0, 0], [2, 0, 1, 0], [2, 1, 0, 0], [2, 1, 1, 0], [2, 1, 2, 0]]"
72,8 3 3,3 24,5,6,6,7,gap:search-decided,119695,0.772,"[[1, 0, 0], [2, 0, 0], [4, 0, 1], [4, 1, 0], [4, 1, 1], [4, 1, 2]]"
72,9 2 2 2,2 2 18,6,6,6,7,forced+confirmed,325463,2.415,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0]]"
72,9 4 2,2 36,6,6,6,7,forced+confirmed,184160,1.345,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
72,9 8,72,6,6,6,7,forced+confirmed,128091,0.922,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0]]"
73,73,73,6,6,6,7,forced+confirmed,114904,0.84,"[[1], [2], [4], [8], [16], [32]]"
74,37 2,74,6,6,6,7,forced+confirmed,150515,1.123,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
75,5 5 3,5 15,5,6,5,6,gap:search-decided,139052,1.01,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
75,25 3,75,6,6,6,7,forced+confirmed,135102,0.947,"[[1, 0], [1, 1], [1, 2], [3, 1], [6, 0], [12, 0]]"
76,19 2 2,2 38,6,6,6,7,forced+confirmed,250702,1.983,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
76,19 4,76,6,6,6,7,forced+confirmed,182593,1.386,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
77,11 7,77,6,6,6,7,forced+confirmed,161219,1.274,"[[0, 1], [1, 1], [2, 2], [3, 5], [4, 4], [5, 3]]"
78,13 3 2,78,6,6,6,7,forced+confirmed,207073,1.696,"[[0, 0, 1], [1, 0, 0], [1, 1, 0], [1, 2, 0], [3, 1, 0], [6, 0, 0]]"
79,79,79,6,6,6,7,forced+confirmed,190984,1.586,"[[1], [2], [4], [8], [16], [32]]"
80,5 2 2 2 2,2 2 2 10,6,6,6,7,forced+confirmed,2044169,18.366,"[[0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 0], [2, 0, 0, 0, 0]]"
80,5 4 2 2,2 2 20,6,6,6,7,forced+confirmed,747033,6.741,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 2, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
80,5 4 4,4 20,6,6,6,7,forced+confirmed,416391,3.872,"[[0, 0, 1], [0, 0, 2], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
80,8 5 2,2 40,6,6,6,7,forced+confirmed,378079,2.924,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
80,16 5,80,6,6,6,7,forced+confirmed,258289,1.981,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
81,3 3 3 3,3 3 3 3,4,6,4,5,gap:search-decided,73361,0.763,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]"
81,9 3 3,3 3 9,5,6,5,6,gap:search-decided,178400,1.579,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
81,9 9,9 9,6,6,6,7,forced+confirmed,215438,1.751,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0]]"
81,27 3,3 27,5,6,6,7,gap:search-decided,211595,1.746,"[[1, 0], [1, 1], [1, 2], [3, 1], [6, 0], [12, 0]]"
81,81,81,6,6,6,7,forced+confirmed,221601,1.918,"[[1], [2], [4], [8], [16], [32]]"
82,41 2,82,6,6,6,7,forced+confirmed,290766,2.433,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
83,83,83,6,6,6,7,forced+confirmed,263426,2.168,"[[1], [2], [4], [8], [16], [32]]"
84,7 3 2 2,2 42,6,6,6,7,forced+confirmed,462458,4.028,"[[0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 0, 0], [1, 1, 0, 0], [1, 2, 0, 0], [3, 1, 0, 0]]"
84,7 4 3,84,6,6,6,7,forced+confirmed,340736,2.97,"[[0, 1, 0], [0, 2, 0], [1, 0, 0], [1, 0, 1], [1, 0, 2], [3, 0, 1]]"
85,17 5,85,6,6,6,7,forced+confirmed,309124,2.515,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
86,43 2,86,6,6,6,7,forced+confirmed,397728,3.308,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
87,29 3,87,6,6,6,7,forced+confirmed,353852,3.058,"[[1, 0], [1, 1], [1, 2], [3, 1], [6, 0], [12, 0]]"
88,11 2 2 2,2 2 22,6,6,6,7,forced+confirmed,1254582,11.514,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0]]"
88,11 4 2,2 44,6,6,6,7,forced+confirmed,698864,6.171,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
88,11 8,88,6,6,6,7,forced+confirmed,482392,4.165,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0]]"
89,89,89,6,6,6,7,forced+confirmed,417770,3.602,"[[1], [2], [4], [8], [16], [32]]"
90,5 3 3 2,3 30,5,6,6,7,gap:search-decided,500667,4.554,"[[0, 0, 0, 1], [1, 0, 0, 0], [1, 0, 1, 0], [1, 1, 0, 0], [1, 2, 2, 0], [2, 1, 2, 0]]"
90,9 5 2,90,6,6,6,7,forced+confirmed,534713,5.022,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
91,13 7,91,6,6,6,7,forced+confirmed,482398,4.374,"[[0, 1], [1, 0], [1, 2], [1, 4], [3, 1], [6, 2]]"
92,23 2 2,2 46,6,6,6,7,forced+confirmed,890545,8.58,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
92,23 4,92,6,6,6,7,forced+confirmed,646936,6.049,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
93,31 3,93,6,6,6,7,forced+confirmed,552983,5.141,"[[1, 0], [1, 1], [1, 2], [3, 1], [6, 0], [12, 0]]"
94,47 2,94,6,6,6,7,forced+confirmed,725399,6.976,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
95,19 5,95,6,6,6,7,forced+confirmed,652504,5.895,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
96,3 2 2 2 2 2,2 2 2 2 6,6,6,6,7,forced (search capped),20000001,257.832,"[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"
96,4 3 2 2 2,2 2 2 12,6,6,6,7,forced+confirmed,6567358,64.717,"[[0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 0], [2, 0, 0, 0, 0]]"
96,4 4 3 2,2 4 12,6,6,6,7,forced+confirmed,2715222,21.863,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 2, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
96,8 3 2 2,2 2 24,6,6,6,7,forced+confirmed,2359602,18.968,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0]]"
96,8 4 3,4 24,6,6,6,7,forced+confirmed,1369196,10.849,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
96,16 3 2,2 48,6,6,6,7,forced+confirmed,1231060,10.129,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
96,32 3,96,6,6,6,7,forced+confirmed,851198,7.314,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
97,97,97,6,6,6,7,forced+confirmed,749365,7.31,"[[1], [2], [4], [8], [16], [32]]"
98,7 7 2,7 14,5,6,6,7,gap:search-decided,899134,8.942,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [1, 2, 0], [1, 4, 0], [3, 1, 0]]"
98,49 2,98,6,6,6,7,forced+confirmed,960202,9.909,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
99,11 3 3,3 33,6,6,6,7,forced+confirmed,809643,7.812,"[[0, 0, 1], [1, 1, 0], [2, 2, 0], [3, 1, 0], [4, 1, 0], [5, 1, 0]]"
99,11 9,99,6,6,6,7,forced+confirmed,854062,8.21,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0]]"
100,5 5 2 2,10 10,6,6,6,7,forced+confirmed,1722535,17.378,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 2, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
100,5 5 4,5 20,6,6,6,7,forced+confirmed,1215168,12.449,"[[0, 0, 1], [0, 0, 2], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
