n,minwit,argi,argj
1076,1,1,4
1077,1,1,3
1078,1,1,22
1079,1,1,13
1080,2,1,5
1081,1,1,23
1082,1,1,2
1083,1,1,3
1084,1,1,4
1085,2,1,5
1086,1,1,6
1087,1,1,2
1088,1,1,17
1089,1,1,9
1090,2,1,2
1091,1,1,2
1092,2,1,39
1093,1,1,2
1094,1,1,2
1095,1,1,15
1096,1,1,8
1097,1,1,2
1098,2,1,2
1099,1,1,7
1100,2,1,4
1101,1,1,3
1102,2,1,2
1103,1,1,2
1104,2,1,3
1105,1,1,221
1106,2,1,2
1107,1,1,27
1108,1,1,4
1109,1,1,2
1110,2,1,30
1111,1,1,11
1112,1,1,8
1113,1,1,84
1114,1,1,2
1115,1,1,5
1116,2,1,4
1117,1,1,2
1118,1,1,26
1119,1,1,3
1120,1,1,35
1121,1,1,19
1122,2,1,33
1123,1,1,2
1124,1,1,4
1125,1,1,9
1126,1,1,2
1127,1,1,23
1128,1,1,72
1129,1,1,2
1130,2,1,2
1131,1,1,39
1132,1,1,4
1133,1,1,11
1134,1,1,98
1135,1,1,5
1136,1,1,16
1137,1,1,3
1138,1,1,2
1139,1,1,17
1140,2,1,84
1141,1,1,7
1142,1,1,2
1143,1,1,9
1144,1,1,104
1145,1,1,5
1146,1,1,90
1147,1,1,31
1148,1,1,56
1149,1,1,3
1150,1,1,46
1151,1,1,2
1152,1,1,9
1153,1,1,2
1154,1,1,2
1155,2,1,21
1156,1,1,4
1157,1,1,13
1158,1,1,6
1159,1,1,19
1160,2,1,5
1161,1,1,27
1162,2,1,2
1163,1,1,2
1164,2,1,3
1165,1,1,5
1166,1,1,132
1167,1,1,3
1168,1,1,16
1169,1,1,7
1170,1,1,130
1171,1,1,2
1172,1,1,4
1173,2,1,3
1174,1,1,2
1175,1,1,25
1176,1,1,441
1177,1,1,11
1178,2,1,2
1179,1,1,9
1180,2,1,4
1181,1,1,2
1182,1,1,12
1183,1,1,7
1184,1,1,32
1185,1,1,30
1186,1,1,2
1187,1,1,2
1188,1,1,132
1189,1,1,29
1190,2,1,34
1191,1,1,3
1192,1,1,8
1193,1,1,2
1194,1,1,138
1195,1,1,5
1196,2,1,4
1197,1,1,63
1198,1,1,2
1199,1,1,11
1200,1,1,144
1201,1,1,2
1202,1,1,2
1203,1,1,3
1204,2,1,4
1205,1,1,5
1206,1,1,18
1207,1,1,17
1208,1,1,8
1209,1,1,93
1210,1,1,10
1211,1,1,7
1212,1,1,12
1213,1,1,2
1214,1,1,2
1215,1,1,5
1216,1,1,19
1217,1,1,2
1218,2,3,21
1219,1,1,23
1220,1,1,305
1221,2,1,3
1222,2,1,2
1223,1,1,2
1224,2,1,8
1225,1,1,25
1226,1,1,2
1227,1,1,3
1228,1,1,4
1229,1,1,2
1230,2,1,6
1231,1,1,2
1232,2,1,7
1233,1,1,9
1234,1,1,2
1235,1,1,380
1236,2,1,3
1237,1,1,2
1238,1,1,2
1239,1,1,504
1240,1,1,80
1241,1,1,17
1242,1,1,138
1243,1,1,11
1244,1,1,4
1245,1,1,30
1246,1,1,14
1247,1,1,29
1248,2,1,3
1249,1,1,2
1250,1,1,2
1251,1,1,9
1252,1,1,4
1253,1,1,7
1254,2,1,36
1255,1,1,5
1256,1,1,8
1257,1,1,3
1258,1,1,34
1259,1,1,2
1260,2,1,36
1261,1,1,13
1262,1,1,2
1263,1,1,3
1264,1,1,16
1265,2,1,5
1266,1,1,18
1267,1,1,7
1268,1,1,4
1269,1,1,27
1270,1,1,20
1271,1,1,31
1272,2,1,3
1273,1,1,19
1274,1,1,26
1275,2,1,3
1276,1,1,44
1277,1,1,2
1278,1,1,36
1279,1,1,2
1280,1,1,5
1281,1,1,252
1282,1,1,2
1283,1,1,2
1284,1,3,642
1285,1,1,5
1286,1,1,2
1287,1,1,297
1288,1,1,161
1289,1,1,2
1290,2,1,10
1291,1,1,2
1292,2,1,4
1293,1,1,3
1294,1,1,2
1295,1,1,259
1296,1,1,16
1297,1,1,2
1298,1,1,649
1299,1,1,3
1300,1,1,260
1301,1,1,2
1302,2,1,6
1303,1,1,2
1304,1,1,8
1305,2,1,5
1306,1,1,2
1307,1,1,2
1308,1,1,12
1309,1,1,77
1310,1,1,10
1311,1,1,570
1312,1,1,32
1313,1,1,13
1314,2,1,2
1315,1,1,5
1316,2,1,4
1317,1,1,3
1318,1,1,2
1319,1,1,2
1320,1,1,264
1321,1,1,2
1322,1,1,2
1323,1,1,27
1324,1,1,4
1325,1,1,25
1326,2,1,34
1327,1,1,2
1328,1,1,16
1329,1,1,3
1330,2,1,50
1331,1,1,2
1332,1,1,36
1333,1,1,31
1334,1,1,276
1335,1,1,30
1336,1,1,8
1337,1,1,7
1338,1,1,42
1339,1,1,13
1340,1,1,40
1341,1,1,9
1342,2,1,2
1343,1,1,17
1344,1,1,21
1345,1,1,5
1346,1,1,2
1347,1,1,3
1348,1,1,4
1349,1,1,19
1350,1,1,324
1351,1,1,7
1352,1,1,8
1353,1,1,246
1354,1,1,2
1355,1,1,5
1356,1,1,324
1357,1,1,23
1358,1,1,14
1359,1,1,9
1360,1,1,80
1361,1,1,2
1362,1,1,66
1363,1,1,29
1364,2,1,4
1365,1,1,630
1366,1,1,2
1367,1,1,2
1368,1,1,72
1369,1,1,2
1370,1,1,10
1371,1,1,3
1372,1,1,4
1373,1,1,2
1374,1,1,6
1375,1,1,11
1376,1,1,32
1377,1,1,17
1378,1,1,689
1379,1,1,7
1380,2,1,324
1381,1,1,2
1382,1,1,2
1383,1,1,3
1384,1,1,8
1385,1,1,5
1386,3,1,2
1387,1,1,19
1388,1,1,4
1389,1,1,3
1390,1,1,10
1391,1,1,13
1392,1,1,87
1393,1,1,7
1394,1,1,34
1395,2,1,5
1396,1,1,4
1397,1,1,11
1398,1,1,18
1399,1,1,2
1400,2,1,7
1401,1,1,3
1402,1,1,2
1403,1,1,23
1404,1,1,52
1405,1,1,5
1406,1,1,38
1407,2,1,3
1408,1,1,11
1409,1,1,2
1410,2,1,30
1411,1,1,17
1412,1,1,4
1413,1,1,9
1414,1,1,707
1415,1,1,5
1416,1,1,354
1417,1,1,13
1418,1,1,2
1419,1,1,33
1420,1,1,140
1421,1,1,29
1422,1,1,270
1423,1,1,2
1424,1,1,16
1425,1,1,171
1426,2,1,2
1427,1,1,2
1428,2,1,51
1429,1,1,2
1430,2,1,22
1431,1,1,27
1432,1,1,8
1433,1,1,2
1434,1,1,138
1435,2,1,5
1436,1,1,4
1437,1,1,3
1438,1,1,2
1439,1,1,2
1440,1,1,135
1441,1,1,11
1442,2,1,2
1443,1,1,39
1444,1,1,4
1445,1,1,5
1446,1,1,6
1447,1,1,2
1448,1,1,8
1449,1,1,63
1450,1,1,290
1451,1,1,2
1452,1,1,12
1453,1,1,2
1454,1,1,2
1455,1,1,30
1456,1,1,364
1457,1,1,31
1458,1,1,2
1459,1,1,2
1460,1,1,160
1461,1,1,3
1462,1,1,258
1463,2,1,7
1464,1,1,732
1465,1,1,5
1466,1,1,2
1467,1,1,9
1468,1,1,4
1469,1,1,13
1470,2,1,10
1471,1,1,2
1472,1,1,23
1473,1,1,3
1474,2,1,2
1475,1,1,25
1476,1,1,738
1477,1,1,7
1478,1,1,2
1479,2,1,3
1480,1,1,200
1481,1,1,2
1482,1,1,741
1483,1,1,2
1484,1,1,392
1485,2,1,5
1486,1,1,2
1487,1,1,2
1488,2,1,3
1489,1,1,2
1490,1,1,80
1491,1,1,735
1492,1,1,4
1493,1,1,2
1494,2,1,2
1495,1,1,65
1496,2,1,8
1497,1,1,3
1498,1,1,392
1499,1,1,2
1500,1,1,12
1501,1,1,19
1502,1,1,2
1503,1,1,9
1504,1,1,32
1505,2,1,5
1506,2,1,2
1507,1,1,11
1508,1,1,260
1509,1,1,3
1510,1,1,130
1511,1,1,2
1512,1,1,392
1513,1,1,17
1514,1,1,2
1515,2,1,3
1516,1,1,4
1517,1,1,37
1518,2,1,6
1519,1,1,31
1520,1,1,760
1521,1,1,9
1522,1,1,2
1523,1,1,2
1524,1,1,36
1525,1,1,25
1526,1,1,98
1527,1,1,3
1528,1,1,8
1529,1,1,11
1530,2,1,18
1531,1,1,2
1532,1,1,4
1533,1,1,63
1534,1,1,118
1535,1,1,5
1536,1,1,3
1537,1,1,29
1538,1,1,2
1539,1,1,19
1540,2,1,154
1541,1,1,23
1542,1,1,514
1543,1,1,2
1544,1,1,8
1545,2,1,3
1546,1,1,2
1547,1,1,357
1548,1,1,516
1549,1,1,2
1550,2,1,2
1551,2,1,3
1552,1,1,16
1553,1,1,2
1554,2,1,84
1555,1,1,5
1556,1,1,4
1557,1,1,9
1558,1,1,779
1559,1,1,2
1560,2,1,520
1561,1,1,7
1562,2,1,2
1563,1,1,3
1564,1,1,391
1565,1,1,5
1566,1,1,522
1567,1,1,2
1568,1,1,32
1569,1,1,3
1570,1,1,785
1571,1,1,2
1572,1,3,786
1573,1,1,13
1574,1,1,2
1575,2,1,7
1576,1,1,8
1577,1,1,19
1578,2,1,2
1579,1,1,2
1580,2,1,4
1581,1,1,93
1582,1,1,14
1583,1,1,2
1584,2,1,9
1585,1,1,5
1586,1,1,546
1587,1,1,3
1588,1,1,4
1589,1,1,7
1590,2,1,6
1591,1,1,37
1592,1,1,8
1593,1,1,27
1594,1,1,2
1595,1,1,145
1596,2,1,28
1597,1,1,2
1598,1,1,34
1599,1,1,533
1600,1,1,25
1601,1,1,2
1602,2,1,2
1603,1,1,7
1604,1,1,4
1605,1,1,30
1606,2,1,2
1607,1,1,2
1608,2,1,3
1609,1,1,2
1610,2,1,10
1611,1,1,9
1612,1,1,403
1613,1,1,2
1614,1,1,12
1615,1,1,85
1616,1,1,16
1617,1,1,33
1618,1,1,2
1619,1,1,2
1620,1,1,20
1621,1,1,2
1622,1,1,2
1623,1,1,3
1624,1,1,203
1625,1,1,13
1626,1,1,813
1627,1,1,2
1628,2,1,4
1629,1,1,9
1630,2,1,2
1631,1,1,7
1632,2,1,3
1633,1,1,23
1634,1,1,817
1635,2,1,3
1636,1,1,4
1637,1,1,2
1638,1,1,546
1639,1,1,11
1640,2,1,5
1641,1,1,3
1642,1,1,2
1643,1,1,31
1644,1,1,12
1645,2,1,5
1646,1,1,2
1647,1,1,27
1648,1,1,16
1649,1,1,17
1650,2,1,66
1651,1,1,13
1652,1,1,84
1653,1,1,87
1654,1,1,2
1655,1,1,5
1656,1,1,552
1657,1,1,2
1658,1,1,2
1659,1,1,84
1660,2,1,4
1661,1,1,11
1662,1,1,6
1663,1,1,2
